Estado/Municípios,Nº do decreto,Início,Fim,Classificação,Politicas
Volta Redonda/RJ,16131,27/04/2020,04/05/2020,Medidas de Prevenção,prorrogação das medidas restritivas até 04/05
Volta Redonda/RJ,16146,30/04/2020,,Flexibilização de funcionamento dos comércios,regras de flexibilização de funcionamento de empresas e estabelecimentos comerciais
São João de Meriti/RJ,6335,20/03/2020,,Fechamento de comércio,"Dispõe sobre o fechamento de bares, restaurantes, shoppings centers, entre outros como forma de evitar aglomerações"
São João de Meriti/RJ,6337,23/03/2020,,Outros,Suspende o atendimento presencial ao público em estabelecimentos comerciais e de prestação de serviços.
São João de Meriti/RJ,6338,27/03/2020,,Outros,"Altera o Decreto nº 6.333, de 16 de março de 2020, que declarou situação de emergência no Município de São João de Meriti e define outras medidas para o enfrentamento da pandemia decorrente do coronavírus"
São João de Meriti/RJ,6347,27/04/2020,,Outros,"Altera o Decreto nº 6.333, de 16 de março de 2020, que declarou situação de emergência no Município de São João de Meriti e define outras medidas para o enfrentamento da pandemia decorrente do coronavírus,"
São João de Meriti/RJ,6348,27/04/2020,,Procedimentos em funerárias,Dispõe sobre os procedimentos a serem adotados pelos serviços funerários e cemiteriais para os óbitos no Município de São João de Meriti e a recomendação quanto aos atos de despedida enquanto perdurar a pandemia de covid-19
São João de Meriti/RJ,6350,27/04/2020,,Uso de Máscara,Dispõe sobre a utilização de máscaras pela população e outras medidas de enfrentamento à propagação decorrente do novo coronavírus
Itaboraí/RJ,30,16/03/2020,,Medidas de Prevenção,dispõe sobre medidas temporárias de prevenção ao contágio e enfrentamento da propagação decorrente do novo coronavírus e do regime de trabalho do servidor público e contratado
Itaboraí/RJ,31,18/03/2020,,Situação de Emergência,declara situação de emergência na saúde pública do município de Itaboraí e adota outras medidas de enfrentamento da propagação decorrente do novo coronavírus
Itaboraí/RJ,32,18/03/2020,,Outros,declara de necessidade e utilidade pública para fins de desapropriação os imóveis descritos bem como os declara sujeitos a requisição para utilização na saúde em razão da COVID-19
Itaboraí/RJ,33,18/03/2020,,Outros,define medidas de contingenciamento cautelar de empenhos em razão da pandemia do COVID-19
Itaboraí/RJ,35,20/03/2020,,Fechamento de comércio,"dispõe sobre o fechamento de bares, restaurantes e demais estabelecimentos bem como a proibição de permanência em praças e pontos turísticos como forma de evitar aglomerações"
Itaboraí/RJ,36,21/03/2020,,Outros,autoriza o remanejamento de pessoal lotado no âmbito da secretaria municipal da saúde e de profissionais de saúde lotados em outras secretarias municipais
Itaboraí/RJ,38,24/03/2020,,Outros,cria comissão de resíduos sólidos em situação de pandemia de coronavírus
Itaboraí/RJ,47,30/03/2020,,Medidas de Prevenção,prorroga o prazo das medidas de enfrentamento da propagação decorrente da pandemia do novo coronavírus
Itaboraí/RJ,50,06/04/2020,,Outros,prorroga os prazos de desconto para pagamento em cota única do IPTU 2020 e de recolhimentos de tributos especificados em razão da pandemia
Itaboraí/RJ,51,07/04/2020,,Outros,regulamenta como garantia à saúde pública o funcionamento dos estabelecimentos que indica em razão da pandemia de COVID-19
Itaboraí/RJ,52,14/04/2020,,Medidas de Prevenção,prorroga o prazo das medidas de enfrentamento da propagação decorrente da pandemia do novo coronavírus
Itaboraí/RJ,55,17/04/2020,,Outros,"cria comisão de saneamento em razão da situação de pandemia SARS- CoV, transmissor da COVID-19"
Itaboraí/RJ,57,22/04/2020,,Medidas de Prevenção,prorroga o prazo das medidas de enfrentamento da propagação decorrente da pandemia do novo coronavírus e as atualiza
Mesquita/RJ,30,16/03/2020,,Medidas de Prevenção,dispõe sobre medidas temporárias prevenção ao contágio e enfrentamento da propagação decorrente do novo coronavírus e do regime de traalho do servidor público e contratado
Mesquita/RJ,31,18/03/2020,,Situação de Emergência,declara situação de emergência na saúde pública do município de Itaboraí e adota outras medidas de enfrentamento da propagação decorrente do novo coronavírus
Mesquita/RJ,32,18/03/2020,,Outros,declara de necessidade e utilidade pública para fins de desapropriação os imóveis descritos bem como os declara sujeitos a requisição para utilização na saúde em razão da COVID-19
Mesquita/RJ,33,18/03/2020,,Outros,define medidas de contingenciamento cautelar de empenhos em razão da pandemia do COVID-19
Mesquita/RJ,35,20/03/2020,,Fechamento de comércio,"dispõe sobre o fechamento de bares, restaurantes e demais estabelecimentos bem como a proibição de permanência em praças e pontos turísticos como forma de evitar aglomerações"
Mesquita/RJ,36,21/03/2020,,Outros,autoriza o remanejamento de pessoal lotado no âmbito da secretaria municipal da saúde e de profissionais de saúde lotados em outras secretarias municipais
Mesquita/RJ,38,24/03/2020,,Outros,cria comissão de resíduos sólidos em situação de pandemia de coronavírus
Mesquita/RJ,47,30/03/2020,,Medidas de Prevenção,prorroga o prazo das medidas de enfrentamento da propagação decorrente da pandemia do novo coronavírus
Mesquita/RJ,50,06/04/2020,,Outros,prorroga os prazos de desconto para pagamento em cota única do IPTU 2020 e de recolhimentos de tributos especificados em razão da pandemia
Mesquita/RJ,51,07/04/2020,,Outros,regulamenta como garantia à saúde pública o funcionamento dos estabelecimentos que indica em razão da pandemia de COVID-19
Mesquita/RJ,52,14/04/2020,,Medidas de Prevenção,prorroga o prazo das medidas de enfrentamento da propagação decorrente da pandemia do novo coronavírus
Mesquita/RJ,55,17/04/2020,,Outros,"cria comisão de saneamento em razão da situação de pandemia SARS- CoV, transmissor da COVID-19"
Mesquita/RJ,57,22/04/2020,,Medidas de Prevenção,prorroga o prazo das medidas de enfrentamento da propagação decorrente da pandemia do novo coronavírus e as atualiza
